Provinsi,Status Pendidikan,Tahun,Persentase
Papua Barat,Masih Bersekolah,2024,26.26
Papua Barat,Masih Bersekolah,2023,26.79
Papua Barat,Masih Bersekolah,2022,30.63
Papua Barat,Masih Bersekolah,2021,31.46
Papua Barat,Masih Bersekolah,2020,28.29
Papua Barat,Tidak Sekolah Lagi,2024,70.58
Papua Barat,Tidak Sekolah Lagi,2023,70.76
Papua Barat,Tidak Sekolah Lagi,2022,67.22
Papua Barat,Tidak Sekolah Lagi,2021,65.58
Papua Barat,Tidak Sekolah Lagi,2020,70.35
Papua Barat Daya,Tidak/Belum Pernah Sekolah,2024,1.95
Papua Barat Daya,Tidak/Belum Pernah Sekolah,2023,
Papua Barat Daya,Tidak/Belum Pernah Sekolah,2022,
Papua Barat Daya,Tidak/Belum Pernah Sekolah,2021,
Papua Barat Daya,Tidak/Belum Pernah Sekolah,2020,
Papua Barat Daya,Masih Bersekolah,2024,26.1
Papua Barat Daya,Masih Bersekolah,2023,
Papua Barat Daya,Masih Bersekolah,2022,
Papua Barat Daya,Masih Bersekolah,2021,
Papua Barat Daya,Masih Bersekolah,2020,
Papua Barat Daya,Tidak Sekolah Lagi,2024,71.95
Papua Barat Daya,Tidak Sekolah Lagi,2023,
Papua Barat Daya,Tidak Sekolah Lagi,2022,
Papua Barat Daya,Tidak Sekolah Lagi,2021,
Papua Barat Daya,Tidak Sekolah Lagi,2020,
Papua,Tidak/Belum Pernah Sekolah,2024,2.05
Papua,Tidak/Belum Pernah Sekolah,2023,4.32
Papua,Tidak/Belum Pernah Sekolah,2022,3.39
Papua,Tidak/Belum Pernah Sekolah,2021,3.43
Papua,Tidak/Belum Pernah Sekolah,2020,3.5
Papua,Masih Bersekolah,2024,24.55
Papua,Masih Bersekolah,2023,
Papua,Masih Bersekolah,2022,
Papua,Masih Bersekolah,2021,
Papua,Masih Bersekolah,2020,
Papua,Tidak Sekolah Lagi,2024,73.4
Papua,Tidak Sekolah Lagi,2023,70.64
Papua,Tidak Sekolah Lagi,2022,67.93
Papua,Tidak Sekolah Lagi,2021,67.4
Papua,Tidak Sekolah Lagi,2020,70.4
Papua Selatan,Tidak/Belum Pernah Sekolah,2024,3.92
Papua Selatan,Tidak/Belum Pernah Sekolah,2023,
Papua Selatan,Tidak/Belum Pernah Sekolah,2022,
Papua Selatan,Tidak/Belum Pernah Sekolah,2021,
Papua Selatan,Tidak/Belum Pernah Sekolah,2020,
Papua Selatan,Masih Bersekolah,2024,25.75
Papua Selatan,Masih Bersekolah,2023,
Papua Selatan,Masih Bersekolah,2022,
Papua Selatan,Masih Bersekolah,2021,
Papua Selatan,Masih Bersekolah,2020,
Papua Selatan,Tidak Sekolah Lagi,2024,70.34
Papua Selatan,Tidak Sekolah Lagi,2023,
Papua Selatan,Tidak Sekolah Lagi,2022,
Papua Selatan,Tidak Sekolah Lagi,2021,
Papua Selatan,Tidak Sekolah Lagi,2020,
Papua Tengah,Tidak/Belum Pernah Sekolah,2024,5.14
Papua Tengah,Tidak/Belum Pernah Sekolah,2023,
Papua Tengah,Tidak/Belum Pernah Sekolah,2022,
Papua Tengah,Tidak/Belum Pernah Sekolah,2021,
Papua Tengah,Tidak/Belum Pernah Sekolah,2020,
Papua Tengah,Masih Bersekolah,2024,23.69
Papua Tengah,Masih Bersekolah,2023,
Papua Tengah,Masih Bersekolah,2022,
Papua Tengah,Masih Bersekolah,2021,
Papua Tengah,Masih Bersekolah,2020,
Papua Tengah,Tidak Sekolah Lagi,2024,71.17
Papua Tengah,Tidak Sekolah Lagi,2023,
Papua Tengah,Tidak Sekolah Lagi,2022,
Papua Tengah,Tidak Sekolah Lagi,2021,
Papua Tengah,Tidak Sekolah Lagi,2020,
Papua Pegunungan,Tidak/Belum Pernah Sekolah,2024,9.75
Papua Pegunungan,Tidak/Belum Pernah Sekolah,2023,
Papua Pegunungan,Tidak/Belum Pernah Sekolah,2022,
Papua Pegunungan,Tidak/Belum Pernah Sekolah,2021,
Papua Pegunungan,Tidak/Belum Pernah Sekolah,2020,
Papua Pegunungan,Masih Bersekolah,2024,22.99
Papua Pegunungan,Masih Bersekolah,2023,
Papua Pegunungan,Masih Bersekolah,2022,
Papua Pegunungan,Masih Bersekolah,2021,
Papua Pegunungan,Masih Bersekolah,2020,
Papua Pegunungan,Tidak Sekolah Lagi,2024,67.26
Papua Pegunungan,Tidak Sekolah Lagi,2023,
Papua Pegunungan,Tidak Sekolah Lagi,2022,
Papua Pegunungan,Tidak Sekolah Lagi,2021,
Papua Pegunungan,Tidak Sekolah Lagi,2020,
