Provinsi,Jenis Kelamin,Tahun,Persentase
Jawa Tengah,Perempuan,2022,47.3
Jawa Tengah,Perempuan,2021,47.6
Jawa Tengah,Perempuan,2020,47.35
DI Yogyakarta,Laki-Laki,2024,50.89
DI Yogyakarta,Laki-Laki,2023,50.77
DI Yogyakarta,Laki-Laki,2022,51.23
DI Yogyakarta,Laki-Laki,2021,51.39
DI Yogyakarta,Laki-Laki,2020,51.47
DI Yogyakarta,Perempuan,2024,49.11
DI Yogyakarta,Perempuan,2023,49.23
DI Yogyakarta,Perempuan,2022,48.77
DI Yogyakarta,Perempuan,2021,48.61
DI Yogyakarta,Perempuan,2020,48.53
Jawa Timur,Laki-Laki,2024,52.09
Jawa Timur,Laki-Laki,2023,52.31
Jawa Timur,Laki-Laki,2022,52.83
Jawa Timur,Laki-Laki,2021,52.61
Jawa Timur,Laki-Laki,2020,52.98
Jawa Timur,Perempuan,2024,47.91
Jawa Timur,Perempuan,2023,47.69
Jawa Timur,Perempuan,2022,47.17
Jawa Timur,Perempuan,2021,47.39
Jawa Timur,Perempuan,2020,47.02
Banten,Laki-Laki,2024,53.02
Banten,Laki-Laki,2023,52.69
Banten,Laki-Laki,2022,53.61
Banten,Laki-Laki,2021,53.85
Banten,Laki-Laki,2020,54.02
Banten,Perempuan,2024,46.98
Banten,Perempuan,2023,47.31
Banten,Perempuan,2022,46.39
Banten,Perempuan,2021,46.15
Banten,Perempuan,2020,45.98
Bali,Laki-Laki,2024,53.77
Bali,Laki-Laki,2023,53.59
Bali,Laki-Laki,2022,53.99
Bali,Laki-Laki,2021,54.15
Bali,Laki-Laki,2020,54.93
Bali,Perempuan,2024,46.23
Bali,Perempuan,2023,46.41
Bali,Perempuan,2022,46.01
Bali,Perempuan,2021,45.85
Bali,Perempuan,2020,45.07
Nusa Tenggara Barat,Laki-Laki,2024,52.42
Nusa Tenggara Barat,Laki-Laki,2023,52
Nusa Tenggara Barat,Laki-Laki,2022,52.54
Nusa Tenggara Barat,Laki-Laki,2021,52.6
Nusa Tenggara Barat,Laki-Laki,2020,52.63
Nusa Tenggara Barat,Perempuan,2024,47.58
Nusa Tenggara Barat,Perempuan,2023,48
Nusa Tenggara Barat,Perempuan,2022,47.46
Nusa Tenggara Barat,Perempuan,2021,47.4
Nusa Tenggara Barat,Perempuan,2020,47.37
Nusa Tenggara Timur,Laki-Laki,2024,52.38
Nusa Tenggara Timur,Laki-Laki,2023,52.07
Nusa Tenggara Timur,Laki-Laki,2022,52.35
Nusa Tenggara Timur,Laki-Laki,2021,52.19
Nusa Tenggara Timur,Laki-Laki,2020,52.45
Nusa Tenggara Timur,Perempuan,2024,47.62
Nusa Tenggara Timur,Perempuan,2023,47.93
Nusa Tenggara Timur,Perempuan,2022,47.65
Nusa Tenggara Timur,Perempuan,2021,47.81
Nusa Tenggara Timur,Perempuan,2020,47.55
Kalimantan Barat,Laki-Laki,2024,52.79
Kalimantan Barat,Laki-Laki,2023,53.11
Kalimantan Barat,Laki-Laki,2022,53.82
Kalimantan Barat,Laki-Laki,2021,53.91
Kalimantan Barat,Laki-Laki,2020,53.74
Kalimantan Barat,Perempuan,2024,47.21
Kalimantan Barat,Perempuan,2023,46.89
Kalimantan Barat,Perempuan,2022,46.18
Kalimantan Barat,Perempuan,2021,46.09
Kalimantan Barat,Perempuan,2020,46.26
Kalimantan Tengah,Laki-Laki,2024,53.47
